x0 		 y0 		 x1 		 y1 		 x2 		 y2 		 x3 		 y3
-0.317573	0.623273	-0.000221	0.000433	-0.079768	0.156553	-0.248456	0.487623	
-0.331066	0.602207	-0.006249	0.011366	-0.100420	0.182663	-0.238605	0.434021	
-0.335276	0.566921	-0.021628	0.036572	-0.123120	0.208184	-0.226417	0.382850	
-0.329461	0.519147	-0.047555	0.074935	-0.147311	0.232125	-0.212329	0.334577	
-0.313457	0.461237	-0.084792	0.124768	-0.172292	0.253520	-0.196791	0.289569	
-0.287746	0.396048	-0.133604	0.183890	-0.197239	0.271477	-0.180253	0.248097	
-0.253492	0.326800	-0.193709	0.249728	-0.221254	0.285239	-0.163150	0.210331	
-0.212545	0.256923	-0.264263	0.319439	-0.243406	0.294228	-0.145891	0.176351	
-0.167403	0.189882	-0.343862	0.390035	-0.262787	0.298073	-0.128848	0.146149	
-0.121148	0.129010	-0.430584	0.458525	-0.278562	0.296638	-0.112350	0.119641	
-0.077340	0.077340	-0.522044	0.522044	-0.290024	0.290024	-0.096675	0.096675	
-0.039883	0.037452	-0.615485	0.577979	-0.296638	0.278562	-0.082044	0.077044	
-0.012868	0.011345	-0.707885	0.624085	-0.298073	0.262787	-0.068625	0.060501	
-0.000398	0.000330	-0.796080	0.658574	-0.294228	0.243406	-0.056529	0.046765	
-0.006396	0.004961	-0.876898	0.680192	-0.285239	0.221254	-0.045814	0.035537	
-0.034415	0.025004	-0.947302	0.688255	-0.271477	0.197239	-0.036491	0.026512	
-0.087457	0.059436	-1.004526	0.682675	-0.253520	0.172292	-0.028528	0.019388	
-0.167799	0.106489	-1.046206	0.663943	-0.232125	0.147311	-0.021856	0.013870	
-0.276851	0.163729	-1.070497	0.633090	-0.208184	0.123120	-0.016380	0.009687	
-0.415037	0.228169	-1.076167	0.591628	-0.182663	0.100420	-0.011982	0.006587	
-0.581719	0.296401	-1.062673	0.541459	-0.156553	0.079768	-0.008533	0.004348	
-0.775158	0.364761	-1.030199	0.484775	-0.130808	0.061554	-0.005896	0.002775	
