 x		y for n=1		y for n=2		y for n=2.5		y for n=3
0.000000	 0.707106	 0.707106	 0.707106	 0.707106
0.099833	 0.774167	 0.833492	 0.860065	 0.884489
0.198669	 0.833492	 0.926649	 0.959549	 0.982863
0.295520	 0.884489	 0.982863	 0.999374	 0.993440
0.389418	 0.926649	 0.999893	 0.977061	 0.915277
0.479426	 0.959549	 0.977061	 0.894000	 0.755355
0.564642	 0.982863	 0.915277	 0.755355	 0.527959
0.644218	 0.996356	 0.817003	 0.569745	 0.253402
0.717356	 0.999893	 0.686158	 0.348711	 -0.043791
0.783327	 0.993440	 0.527959	 0.105995	 -0.337072
0.841471	 0.977061	 0.348711	 -0.143310	 -0.600243
0.891207	 0.950920	 0.155561	 -0.383705	 -0.809796
0.932039	 0.915277	 -0.043791	 -0.600243	 -0.947013
0.963558	 0.870489	 -0.241397	 -0.779461	 -0.999636
0.985450	 0.817003	 -0.429379	 -0.910216	 -0.962964
0.997495	 0.755354	 -0.600243	 -0.984378	 -0.840273
0.999574	 0.686158	 -0.747178	 -0.997336	 -0.642524
0.991665	 0.610106	 -0.864324	 -0.948284	 -0.387379
0.973848	 0.527959	 -0.947013	 -0.840273	 -0.097631
0.946300	 0.440535	 -0.991947	 -0.680018	 0.200838
0.909297	 0.348711	 -0.997336	 -0.477483	 0.481367
0.863209	 0.253402	 -0.962964	 -0.245259	 0.718896
0.808496	 0.155561	 -0.890202	 0.002212	 0.892209
0.745705	 0.056166	 -0.781950	 0.249547	 0.985823
0.675463	 -0.043791	 -0.642524	 0.481365	 0.991377
0.598472	 -0.143310	 -0.477483	 0.683255	 0.908375
0.515502	 -0.241396	 -0.293407	 0.842664	 0.744230
0.427380	 -0.337071	 -0.097633	 0.949680	 0.513606
0.334989	 -0.429378	 0.102033	 0.997649	 0.237102
0.239250	 -0.517395	 0.297632	 0.983589	 -0.060580
0.141121	 -0.600242	 0.481365	 0.908375	 -0.352852
0.041581	 -0.677092	 0.645907	 0.776683	 -0.613604
-0.058373	 -0.747177	 0.784699	 0.596701	 -0.819545
-0.157745	 -0.809796	 0.892208	 0.379618	 -0.952279
-0.255540	 -0.864323	 0.964147	 0.138932	 -0.999948
-0.350782	 -0.910215	 0.997649	 -0.110391	 -0.958296
-0.442519	 -0.947012	 0.991378	 -0.352851	 -0.831041
-0.529835	 -0.974348	 0.945584	 -0.573372	 -0.629553
-0.611857	 -0.991947	 0.862092	 -0.758244	 -0.371828
-0.687765	 -0.999636	 0.744232	 -0.895972	 -0.080890
-0.756801	 -0.997336	 0.596701	 -0.977993	 0.217275
-0.818276	 -0.985072	 0.425382	 -0.999207	 0.496031
-0.871575	 -0.962964	 0.237104	 -0.958296	 0.730478
-0.916165	 -0.931236	 0.039374	 -0.857801	 0.899674
-0.951602	 -0.890203	 -0.159926	 -0.703974	 0.988504
-0.977530	 -0.840275	 -0.352850	 -0.506377	 0.989035
-0.993691	 -0.781951	 -0.531708	 -0.277295	 0.901218
-0.999923	 -0.715815	 -0.689367	 -0.030974	 0.732898
-0.996165	 -0.642526	 -0.819544	 0.217274	 0.499110
-0.982453	 -0.562817	 -0.917049	 0.452013	 0.220739
-0.958925	 -0.477485	 -0.977993	 0.658648	 -0.077349
-0.925816	 -0.387382	 -0.999948	 0.824332	 -0.368530
-0.883456	 -0.293409	 -0.982039	 0.938762	 -0.626791
-0.832269	 -0.196503	 -0.924978	 0.994825	 -0.829062
-0.772766	 -0.097635	 -0.831042	 0.989035	 -0.957275
-0.705542	 0.002209	 -0.703975	 0.921752	 -0.999978
-0.631269	 0.102031	 -0.548843	 0.797158	 -0.953357
-0.550688	 0.200834	 -0.371830	 0.623001	 -0.821575
-0.464605	 0.297630	 -0.179993	 0.410109	 -0.616405
-0.373880	 0.391452	 0.019019	 0.171718	 -0.356174
-0.279419	 0.481363	 0.217273	 -0.077348	 -0.064123
-0.182166	 0.566464	 0.406865	 -0.321607	 0.233652
-0.083093	 0.645905	 0.580237	 -0.545869	 0.510556
0.016810	 0.718893	 0.730477	 -0.736192	 0.741854
0.116546	 0.784698	 0.851594	 -0.880742	 0.906884
0.215116	 0.842662	 0.938762	 -0.970531	 0.990906
0.311538	 0.892207	 0.988504	 -0.999978	 0.986413
0.404846	 0.932837	 0.998838	 -0.967251	 0.893808
0.494110	 0.964146	 0.969351	 -0.874385	 0.721359
0.578436	 0.985823	 0.901219	 -0.727157	 0.484475
0.656983	 0.997649	 0.797159	 -0.534715	 0.204315
0.728966	 0.999507	 0.661318	 -0.309028	 -0.094096
0.793665	 0.991378	 0.499113	 -0.064127	 -0.384102
0.850434	 0.973344	 0.317010	 0.184762	 -0.639797
0.898706	 0.945584	 0.122268	 0.422162	 -0.838341
0.937998	 0.908377	 -0.077347	 0.633315	 -0.961999
0.967918	 0.862093	 -0.273880	 0.805091	 -0.999725
0.988167	 0.807195	 -0.459492	 0.926811	 -0.948148
0.998543	 0.744233	 -0.626788	 0.990906	 -0.811876
0.998942	 0.673834	 -0.769096	 0.993391	 -0.603082
0.989359	 0.596702	 -0.880741	 0.934112	 -0.340417
